"Action","Action"
"Additional information","Additional information"
"An amount on which to change the balance","An amount on which to change the balance"
"Balance","Balance"
"Balance Change","Balance Change"
"Balance History","Balance History"
"Balance history cannot be saved without existing balance.","Balance history cannot be saved without existing balance."
"By admin: %1$s. (%2$s)","By admin: %1$s. (%2$s)"
"By admin: %s.","By admin: %s."
"Comment","Comment"
"Created","Created"
"Customer Balance","Customer Balance"
"Customer Balance API","Customer Balance API"
"Customer Balance for Quote API","Customer Balance for Quote API"
"Customer ID must be specified.","Customer ID must be specified."
"Customer My Account Store Credit","Customer My Account Store Credit"
"Customer balance","Customer balance"
"Customer is not set or does not exist.","Customer is not set or does not exist."
"Customer notified?","Customer notified?"
"Date","Date"
"Delete Orphan Balances","Delete Orphan Balances"
"Enable Store Credit Functionality","Enable Store Credit Functionality"
"Failed to initialize customer","Failed to initialize customer"
"In order to send email notification, the Store ID must be set.","In order to send email notification, the Store ID must be set."
"No","No"
"Not enough Store Credit Amount to complete this Order.","Not enough Store Credit Amount to complete this Order."
"Notified","Notified"
"Notify Customer by Email","Notify Customer by Email"
"Order #%s","Order #%s"
"Order #%s, creditmemo #%s","Order #%s, creditmemo #%s"
"Please set store ID as well.","Please set store ID as well."
"Refund Money to Store Credit","Refund Money to Store Credit"
"Refund Store Credit Automatically","Refund Store Credit Automatically"
"Refund Store Credit to Store Credit","Refund Store Credit to Store Credit"
"Refund to Store Credit","Refund to Store Credit"
"Refunded","Refunded"
"Refunded to Store Credit","Refunded to Store Credit"
"Remove","Remove"
"Retrieve balance amount","Retrieve balance amount"
"Retrieve balance history","Retrieve balance history"
"Retrieve customer store credit balance information","Retrieve customer store credit balance information"
"Retrieve customer store credit history information","Retrieve customer store credit history information"
"Reverted","Reverted"
"Send Email Notification From the Following Store View","Send Email Notification From the Following Store View"
"Send Email from the Following Store View","Send Email from the Following Store View"
"Set","Set"
"Show Store Credit History to Customers","Show Store Credit History to Customers"
"Store Credit","Store Credit"
"Store Credit (%s)","Store Credit (%s)"
"Store Credit Balance","Store Credit Balance"
"Store Credit Balance and History Wrapper","Store Credit Balance and History Wrapper"
"Store Credit Options","Store Credit Options"
"Store Credit Update","Store Credit Update"
"Store Credit Update Email Sender","Store Credit Update Email Sender"
"Store Credit Update Email Template","Store Credit Update Email Template"
"Store Credit payment is not being used in your shopping cart.","Store Credit payment is not being used in your shopping cart."
"Store credit amount cannot exceed order amount.","Store credit amount cannot exceed order amount."
"The store credit payment has been removed from shopping cart.","The store credit payment has been removed from shopping cart."
"There is no creditmemo set to balance model.","There is no creditmemo set to balance model."
"There is no order set to balance model.","There is no order set to balance model."
"Unknown balance history action code","Unknown balance history action code"
"Update Balance","Update Balance"
"Updated","Updated"
"Use Store Credit","Use Store Credit"
"Use Store Credit (%s available)","Use Store Credit (%s available)"
"Used","Used"
"Website","Website"
"Website ID must be set.","Website ID must be set."
"Your current balance is:","Your current balance is:"
"available","available"
